bigram phrase,frequency
these countries,22
back in,22
tough and,22
people right,22
they wouldn't,22
like an,22
they built,22
actually said,22
all my,22
would like,22
take him,22
i'll say,22
very big,22
it he,22
gun laws,22
need somebody,22
the internet,22
billions and,22
to fight,22
you said,22
to move,22
you mean,22
a different,22
from japan,22
24 day,22
be much,22
illegal immigrant,22
can't believe,22
no choice,22
person and,22
love this,22
people from,22
when you're,22
of new,22
not have,22
just said,22
something that,22
and make,22
that said,22
obama i,22
gave me,22
will take,22
they send,22
it's never,22
win so,22
worse than,22
a military,22
people think,22
even the,22
nothing and,22
coming from,22
get in,22
are being,22
people here,22
i hope,22
heard that,22
but that,22
china i,22
debate and,22
end of,22
an incredible,22
smart people,22
everybody wanted,22
have and,22
how good,22
they're really,22
a thousand,22
tell the,22
millions and,22
take you,22
gotta take,22
is to,22
that really,22
so i'm,22
will do,22
and will,22
is dead,22
in they,22
it ok,22
medieval times,22
doesn't know,22
hillary clinton,22
have tremendous,22
so hard,22
use them,22
doesn't matter,22
there were,22
gonna mess,22
that could,22
lots of,22
there right,22
with your,22
to cut,22
we're talking,22
keep it,22
instead of,22
do great,22
something that's,22
guy he's,22
she has,22
now i'm,22
a better,22
his father,22
are very,22
incredible people,22
somebody that,22
it from,22
very interesting,22
about him,22
have one,22
year and,20
they thought,20
where is,20
here's what,20
like one,20
we started,20
merry christmas,20
don't talk,20
back into,20
thought it,20
she is,20
our leaders,20
he comes,20
respect for,20
and even,20
with our,20
they think,20
call it,20
my whole,20
in we,20
a general,20
way it,20
because if,20
maybe he's,20
two days,20
with these,20
everybody in,20
day they,20
know we're,20
is when,20
are doing,20
people said,20
mister president,20
things happen,20
the line,20
you're going,20
deal that,20
five years,20
than we,20
there's something,20
other places,20
is unbelievable,20
my friend,20
be good,20
the book,20
as people,20
if he,20
and on,20
that can,20
anybody that,20
came to,20
send them,20
because that's,20
down there,20
islamic terrorism,20
the ones,20
really want,20
the bottom,20
walk in,20
want it,20
right right,20
number thirty,20
day one,20
i'm sorry,20
so they're,20
we're number,20
in third,20
trump tower,20
to that,20
good thing,20
they weren't,20
what was,20
really smart,20
guy you,20
go down,20
you should,20
have had,20
a month,20
is all,20
a poll,20
get there,20
from and,20
right they,20
tens of,20
good time,20
them all,20
wonder why,20
ever had,20
we've been,20
whether it's,20
every day,20
we would,20
not talking,20
really like,20
mean it,20
very tough,20
rebuilt china,20
and everything,20
like he,20
you leave,20
the general,20
with their,20
very well,20
won't say,20
well that's,20
i take,20
we've gotta,20
the wounded,20
say to,20
to us,20
me he,20
does he,20
had an,20
super pac,20
my office,20
something going,20
hear it,20
28 000,20
guy like,20
can see,20
of months,20
looked at,20
are like,20
just the,20
never get,20
african american,20
los angeles,20
to look,20
the man,20
dream is,20
two trillion,20
of control,20
we're in,20
the person,20
in chicago,20
rich as,20
make great,20
person in,20
just can't,20
this way,20
let people,20
called the,20
time but,20
that they've,20
think is,20
around and,20
the numbers,20
need the,20
they'll say,20
problems and,20
the water,20
just tell,20
money because,20
doing but,20
the thing,20
not saying,20
the media,20
johnson and,20
by people,20
more people,20
if they're,20
was talking,20
you folks,20
here so,20
get this,20
a plan,20
because he's,20
happening and,20
but now,20
very strong,20
it as,20
on top,20
to rebuild,20
why are,20
and was,20
mean they,20
have another,20
many years,20
how does,20
when i'm,20
the wrong,20
and they've,20
say i'm,20
you guys,20
gun free,20
but one,20
and years,20
all i,20
for four,20
mexico and,20
in other,20
is an,20
whatever it,20
two million,20
almost a,20
because they're,20
and maybe,20
toughest gun,20
know all,20
greater than,20
unless you,20
they left,20
all about,20
over iraq,20
speak to,20
said if,20
it's ever,20
of thinking,20
their own,20
things but,20
see you,20
great business,20
most incredible,20
guarantee you,20
billions of,20
the crowd,20
done a,20
the escalator,20
do things,20
take that,20
thing to,20
to end,20
you give,20
the road,20
up so,20
who the,20
say what,20
into iraq,20
in favor,20
something about,20
and two,20
mobile alabama,20
know he's,20
sergeant bergdahl,20
the show,20
a call,20
old days,20
who i,20
all set,20
the obama,20
it if,20
up there,18
countries that,18
but for,18
know some,18
border and,18
i remember,18
in but,18
nobody is,18
know maybe,18
be an,18
the audience,18
what's gonna,18
time they,18
don't worry,18
done it,18
old post,18
it like,18
gave up,18
and replace,18
head and,18
said oh,18
so that's,18
way to,18
trade deficit,18
than me,18
and johnson,18
up our,18
he just,18
put him,18
man i,18
wouldn't even,18
that these,18
out with,18
states is,18
year ago,18
gonna pay,18
this thing,18
a much,18
they talk,18
put the,18
there we,18
come down,18
pennsylvania avenue,18
say well,18
think this,18
extreme weather,18
but i've,18
love in,18
with something,18
that to,18
it's great,18
us to,18
and for,18
with everybody,18
here you,18
sought after,18
into this,18
a mistake,18
be like,18
believe in,18
10 000,18
say it's,18
of its,18
the father,18
special interest,18
going down,18
not that,18
000 000,18
leading in,18
thousand and,18
she does,18
wanted for,18
maybe the,18
those things,18
the candidates,18
thousand years,18
way i'm,18
winning again,18
want that,18
gonna give,18
of an,18
money from,18
and japan,18
of different,18
people these,18
dishonest people,18
is peanuts,18
spent a,18
the strength,18
five million,18
a free,18
but she,18
as it,18
really great,18
up but,18
tremendous cash,18
you about,18
somebody that's,18
nice people,18
no more,18
were killed,18
good job,18
we lose,18
a win,18
deal we,18
on his,18
takes guts,18
way we're,18
you've been,18
it's almost,18
in about,18
seventy nine,18
one hundred,18
right to,18
won't be,18
great so,18
about what,18
military so,18
in trouble,18
and thank,18
and look,18
buildings in,18
easy to,18
to spend,18
the case,18
has anybody,18
five people,18
never run,18
another one,18
thought i,18
men and,18
elton john,18
and let,18
world is,18
dead but,18
the streets,18
good people,18
country we're,18
more money,18
even close,18
mean a,18
solve the,18
the killing,18
really well,18
the super,18
have two,18
going in,18
believe the,18
north korea,18
know there's,18
that's when,18
just don't,18
don't forget,18
right people,18
you read,18
environmental impact,18
go over,18
about i,18
a one,18
problem if,18
and get,18
and here's,18
this whole,18
and women,18
people would,18
